month,encounters
2023-01-01,209151
2023-02-01,213911
2023-03-01,259471
2023-04-01,276036
2023-05-01,275166
2023-06-01,211457
2023-07-01,245154
2023-08-01,304073
2023-09-01,341392
2023-10-01,278317
2023-11-01,284624
2023-12-01,302392
2024-01-01,242530
2024-02-01,256071
2024-03-01,246505
2024-04-01,247929
2024-05-01,240924
2024-06-01,204932
2024-07-01,170180
2024-08-01,158893
2024-09-01,144666
2024-10-01,309024
2024-11-01,308605
2024-12-01,370883
2025-01-01,81479
2025-02-01,28613
2025-03-01,29013
2025-04-01,29197
2025-05-01,29470
2025-06-01,25185
2025-07-01,24589
2025-08-01,26162
2025-09-01,26002
2025-10-01,142742
2025-11-01,124972
2025-12-01,124482
