month,n_articles,mean_tone
2022-01-01,5594,-2.6960466698311656
2022-02-01,5154,-2.6025728363121243
2022-03-01,6264,-2.4857551721027766
2022-04-01,6035,-2.5320503190742847
2022-05-01,5557,-2.4800127061201462
2022-06-01,4150,-2.56274107633
2022-07-01,5656,-2.4761081999632526
2022-08-01,4644,-2.7821344052908876
2022-09-01,5264,-2.391298192411608
2022-10-01,5187,-2.5282008062929853
2022-11-01,5109,-2.3772949393178773
2022-12-01,5510,-2.487920776925997
2023-01-01,5833,-2.460171518651987
2023-02-01,5761,-2.397487063523176
2023-03-01,7251,-2.63646898386066
2023-04-01,9329,-2.5376604927197928
2023-05-01,10310,-2.3565189235682498
2023-06-01,9185,-2.330677796224565
2023-07-01,8280,-2.41059311288908
2023-08-01,8640,-2.565547348774053
2023-09-01,7676,-2.4140594491452068
2023-10-01,10163,-2.728549232349413
2023-11-01,8922,-2.60240489263909
2023-12-01,8284,-2.602169943396724
2024-01-01,8881,-2.5900653413522994
2024-02-01,8927,-2.4265783545661876
2024-03-01,8725,-2.6860344467144457
2024-04-01,8236,-2.692835043354299
2024-05-01,8353,-2.4503319822531817
2024-06-01,8317,-2.5393744360298247
2024-07-01,9229,-2.2179352875742295
2024-08-01,9226,-2.589854792751894
2024-09-01,9149,-2.5872890284504066
2024-10-01,8934,-2.4126578788162503
2024-11-01,8768,-2.1984411593557356
2024-12-01,7725,-2.502083597613926
2025-01-01,9415,-2.535568918466708
2025-02-01,8344,-2.535521813653236
2025-03-01,8319,-2.5930883367959834
2025-04-01,8711,-2.660622878740788
2025-05-01,7505,-2.7015750456961083
2025-06-01,3644,-3.3584323910471667
2025-07-01,7948,-2.7163949677074317
2025-08-01,7655,-2.827167580011331
2025-09-01,7263,-2.6405101599303658
2025-10-01,7666,-2.6217856983810965
2025-11-01,7069,-2.4231223591948834
2025-12-01,6527,-2.6106919908965027
