month,arrests
2020-10-01,5926
2020-11-01,5207
2020-12-01,5348
2021-01-01,4660
2021-02-01,1653
2021-03-01,1758
2021-04-01,2593
2021-05-01,3651
2021-06-01,5934
2021-07-01,5941
2021-08-01,6856
2021-09-01,10198
2021-10-01,9863
2021-11-01,11642
2021-12-01,7131
2022-01-01,6954
2022-02-01,8748
2022-03-01,10954
2022-04-01,9765
2022-05-01,9203
2022-06-01,10217
2022-07-01,11019
2022-08-01,14008
2022-09-01,12939
2022-10-01,14643
2022-11-01,14337
2022-12-01,13367
2023-01-01,16150
2023-02-01,13968
2023-03-01,13867
2023-04-01,11459
2023-05-01,11710
2023-06-01,10644
2023-07-01,9445
2023-08-01,9154
2023-09-01,7730
2023-10-01,8003
2023-11-01,6849
2023-12-01,7982
2024-01-01,6684
2024-02-01,7668
2024-03-01,7587
2024-04-01,8163
2024-05-01,8196
2024-06-01,6550
2024-07-01,7329
2024-08-01,7312
2024-09-01,6584
2024-10-01,7512
2024-11-01,6352
2024-12-01,6589
